"Core_Speed","L2_Cache","Max_Power","Memory","Memory_Bandwidth","Memory_Speed","TMUs","Texture_Rate","Release_Date"
NA,0,NA,512,72,1125,NA,NA,"01-Jan-2008 "
NA,0,NA,1024,41.6,650,NA,NA,"20-Mar-2006 "
NA,0,NA,256,28.8,450,NA,NA,"01-Jun-2004 "
NA,0,NA,64,8,500,NA,NA,"01-Aug-2002 "
NA,0,NA,1024,111.1,868,NA,NA,"01-Jan-2007 "
NA,0,NA,512,35.2,1100,NA,NA,"01-Jan-2007 "
NA,0,450,256,41.6,650,NA,NA,"24-Apr-2006 "
NA,0,NA,512,51.2,800,NA,NA,"01-Jan-2007 "
NA,0,NA,128,9.9,310,NA,NA,"21-Nov-2002 "
NA,0,NA,128,11.2,350,NA,NA,"01-Jan-2005 "
NA,0,NA,256,16,500,NA,NA,"01-Jan-2007 "
NA,0,NA,256,6.4,400,NA,NA,"01-Jan-2006 "
NA,0,NA,128,6.4,400,NA,NA,"24-Apr-2006 "
NA,0,NA,128,16,500,NA,NA,"14-Aug-2006 "
NA,1024,290,16384,320,1250,176,164,"26-Mar-2014 "
NA,0,225,4096,176,1375,NA,NA,"14-Jun-2012 "
NA,0,NA,128,3.2,200,NA,NA,"01-Jun-2004 "
NA,0,75,2048,102.4,800,NA,NA,"01-Aug-2012 "
NA,0,274,6144,264,1375,128,125,"01-Aug-2012 "
NA,0,154,2048,115.2,900,NA,NA,"28-Jul-2009 "
NA,0,150,4096,153.6,1200,80,76,"13-Jun-2012 "
NA,0,150,2048,160,1250,NA,NA,"24-May-2011 "
630,512,26,2048,28.8,900,20,14,"12-Aug-2014 "
NA,0,151,1024,108.8,850,NA,NA,"11-Sep-2008 "
NA,0,138,2048,128,1000,NA,NA,"26-Apr-2010 "
NA,0,75,2048,128,1000,32,19,"24-May-2011 "
NA,0,NA,64,3.2,200,NA,NA,"01-Mar-2003 "
NA,0,74,1024,64,1000,40,28,"26-Apr-2010 "
NA,0,56,512,28.8,900,32,22,"08-Aug-2008 "
NA,0,48,256,22.4,700,32,18,"11-Sep-2008 "
NA,0,NA,128,2.3,290,NA,NA,"01-Jan-2001 "
NA,1024,235,16384,320,1250,176,158,"01-Aug-2014 "
